ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
7239;M;Széchenyi István Egyetem;Law;jogász;NA;E;1121;112;1;121;Managers;Business services and administration managers;1;HU101;40;934875
7240;F;Széchenyi István Egyetem;Economic Science;gazdálkodási;NA;F;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU221;40;130200
7241;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4221;422;4;422;Clerical support workers;Client information workers;0;HU101;40;189500
7242;M;Tomori Pál Fõiskola;Economic Science;gazdálkodási;NA;F;5299;529;5;516;"Clerical support workers; service and sales workers";Other personal services workers;0;HU101;40;229093
7243;M;Szent István Egyetem;Economic Science;pénzügy és számvitel;Finance and Accounting;B;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;38;291357
7244;F;Budapesti Kommunikációs és Üzleti Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;3641;364;3;334;Technicians and associate professionals;Administrative and specialised secretaries;1;HU101;40;250000
7245;M;Szent István Egyetem;Agricultural Science;állattenyésztõ mérnöki;Animal production engineer;B;1210;121;1;112;Managers;Managing directors and chief executives;1;HU231;0;0
7246;F;Általános Vállalkozási Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;330308
7247;F;Nyugat-Magyarországi Egyetem;Teacher and kindergarten teacher;tanító;NA;F;3135;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU221;40;160713
7248;F;Általános Vállalkozási Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;4129;412;4;441;Clerical support workers;Other clerical support workers;0;not NUTS important taxpayer;40;186101
